Granule,exposure,lat0,lon0,steps,reg_status,VIIRS_Ref,verf_pnts,mu_dx,mu_dy,sig_dx,sig_dy,LPA,LZA0,solar_contam,aurora_pix,lightning_pix,mu_city_vis,mu_city_uv,mu_full_vis,mu_full_uv,mu_aurora,mu_lightning,sig_city_vis,sig_city_uv,sig_full_vis,sig_full_uv,sig_aurora,sig_lightning
-,s,deg,deg,-,-,-,-,pixels,pixels,pixels,pixels,deg,deg,-,-,-,nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr)
TEMPO_RADT_L1_V04_20250828T101615Z_S001G01,119.655609,34.187588,-118.535042,22,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,120.627228,159.141159,0.000000,0,4,-5.110647e-03,0.001480,-0.007538,0.001373,0.000170,0.001378,0.262632,0.334701,0.437394,0.461728,0.027278,0.128911
TEMPO_RADT_L1_V04_20250829T013004Z_S019G01,6.297664,34.163124,-63.450172,121,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,113.758324,93.938568,0.000000,0,91,1.706449e-03,-0.002657,0.002112,-0.001866,0.000114,0.000569,0.974000,1.149934,1.685110,1.423522,0.106946,0.413022
TEMPO_RADT_L1_V04_20250829T014300Z_S019G02,6.297664,33.853741,-70.723030,120,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,113.758324,90.681496,0.000000,0,65,2.221089e-03,0.003653,0.002741,0.003909,0.000016,0.001303,0.977327,1.144559,1.685176,1.414562,0.106938,0.412251
TEMPO_RADT_L1_V04_20250829T101555Z_S001G01,119.655609,34.183228,-118.540413,22,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,109.721703,155.520020,0.000000,0,0,-5.800776e-03,-0.004213,-0.006936,-0.002466,0.000107,0.001621,0.259286,0.367164,0.432996,0.494906,0.027194,0.131254
TEMPO_RADT_L1_V04_20250830T012948Z_S019G01,6.297664,33.688744,-77.322105,121,1,VNP46A3_A2025091,76,4.088443e-03,0.006988,0.022134,0.040770,102.883400,78.383301,0.000000,0,180,1.468902e-02,0.016962,0.013013,0.014334,-0.000098,0.000060,1.039719,1.199173,1.782562,1.500459,0.107883,0.420277
TEMPO_RADT_L1_V04_20250830T014244Z_S019G02,6.297664,33.574131,-83.748917,120,1,VNP46A3_A2025091,76,4.088443e-03,0.006988,0.022134,0.040770,102.883400,76.241676,0.000000,0,120,1.342017e-03,0.004923,0.016337,0.012886,0.000320,0.002451,1.074465,1.223768,1.829638,1.529770,0.108538,0.415150
TEMPO_RADT_L1_V04_20250830T101535Z_S001G01,119.655609,34.185913,-118.572914,22,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,98.851089,148.436340,0.000000,0,0,-5.683802e-03,-0.001447,-0.007081,0.000063,0.000193,0.001295,0.259660,0.363703,0.434523,0.512093,0.027322,0.136789
TEMPO_RADT_L1_V04_20250831T012931Z_S017G01,6.297664,33.536469,-89.936974,121,1,VNP46A3_A2025091,77,-3.002257e-02,0.002828,0.036980,0.105146,91.993118,67.455070,25106.000000,0,97,-6.398921e-02,-0.103316,-0.075265,-0.326981,-0.039962,-0.043271,1.179435,1.336911,1.994101,1.943019,0.142285,0.514473
TEMPO_RADT_L1_V04_20250831T014227Z_S017G02,6.297664,33.564304,-96.185768,120,1,VNP46A3_A2025091,77,-3.002257e-02,0.002828,0.036980,0.105146,91.993118,66.244911,59245.000000,0,270,7.805800e-03,0.049552,-0.023603,0.137946,0.024429,-0.012397,1.228398,1.432914,2.166828,1.997760,0.136057,0.514694
TEMPO_RADT_L1_V04_20250831T101514Z_S001G01,119.655609,34.182232,-118.542320,22,0,VNP46A3_A2025091,0,0,0.000000,NaN,NaN,87.934418,139.672592,0.000000,0,7,-5.770464e-03,-0.002528,-0.006550,-0.001716,0.000072,0.001327,0.261785,0.361278,0.435533,0.484643,0.027033,0.130586
TEMPO_RADT_L1_V04_20250901T012915Z_S019G01,6.297664,34.164062,-63.455837,121,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,81.003510,76.269440,0.000000,0,21,2.574791e-03,-0.000547,0.002682,-0.000435,0.000022,0.000265,0.975158,1.143267,1.691245,1.417992,0.106992,0.414380
TEMPO_RADT_L1_V04_20250901T014211Z_S019G02,6.297664,33.854778,-70.731560,120,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,81.003510,73.881142,0.000000,0,2,1.632543e-03,0.002305,0.002877,0.003117,0.000154,0.001501,0.980986,1.140833,1.696961,1.415009,0.106932,0.415436
TEMPO_RADT_L1_V04_20250901T101452Z_S001G01,119.655609,34.175415,-118.558357,22,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,76.887321,129.921738,0.000000,0,24,-5.771587e-03,-0.001518,-0.008131,0.000473,0.000105,0.001075,0.261553,0.369029,0.451474,0.504257,0.027149,0.131371
TEMPO_RADT_L1_V04_20250902T012859Z_S019G01,6.297664,33.691223,-77.405167,121,1,VNP46A3_A2025244,87,-7.673660e-04,0.003817,0.027467,0.046583,69.830841,65.438942,0.000000,3,34,1.647489e-02,0.015422,0.018127,0.014016,-0.000246,0.001121,1.064520,1.213430,1.840859,1.500479,0.108297,0.413502
TEMPO_RADT_L1_V04_20250902T014155Z_S019G02,6.297664,33.576618,-83.821869,120,1,VNP46A3_A2025244,87,-7.673660e-04,0.003817,0.027467,0.046583,69.830841,64.564255,0.000000,6,0,4.587147e-03,0.005856,0.017690,0.011464,0.000340,0.000491,1.092761,1.225167,1.873316,1.521006,0.108544,0.414663
TEMPO_RADT_L1_V04_20250902T101429Z_S001G01,119.655609,34.183411,-118.553894,22,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,65.627319,119.540543,0.000000,0,30,-5.973631e-03,-0.002279,-0.007535,-0.001282,0.000054,0.000860,0.259007,0.350285,0.434533,0.447734,0.026520,0.116278
TEMPO_RADT_L1_V04_20250903T014140Z_S015G01,6.297664,33.577518,-96.303795,111,1,VNP46A3_A2025244,35,-3.977698e-02,0.012488,0.025619,0.046081,58.348518,62.932346,48350.000000,0,117,-1.922402e-02,-0.007674,-0.027494,-0.024429,-0.003539,-0.009343,1.207356,1.369615,2.107938,1.851566,0.129140,0.492662
TEMPO_RADT_L1_V04_20250903T101406Z_S001G01,119.655609,34.184818,-118.552948,22,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,54.079735,108.613632,0.000000,0,5,-5.085216e-03,-0.001413,-0.006727,0.000433,0.000300,0.002505,0.260814,0.376294,0.434055,0.490540,0.027378,0.132385
TEMPO_RADT_L1_V04_20250904T012827Z_S019G01,6.297664,34.162106,-63.455509,121,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,46.635498,60.498722,0.000000,0,0,4.015380e-03,0.004100,0.007668,0.008979,0.000127,0.002769,1.028310,1.161066,1.816897,1.443855,0.107250,0.419227
TEMPO_RADT_L1_V04_20250904T014123Z_S019G02,6.297664,33.848606,-70.732056,120,0,VNP46A3_A2025244,0,0,0.000000,NaN,NaN,46.635498,59.917923,0.000000,0,70,5.098030e-03,-0.003240,0.012014,-0.007247,0.000055,0.000305,1.064557,1.176996,1.890332,1.464644,0.107097,0.417449
TEMPO_RADT_L1_V04_20250904T101343Z_S001G01,6.297664,33.530354,-93.326218,121,1,VNP46A3_A2025244,152,4.139322e-02,-0.011364,0.036186,0.074077,42.091698,113.866302,289.000000,0,37,1.570805e-02,-0.016028,0.031522,-0.070904,-0.001814,0.001338,1.083365,1.267754,1.889256,1.773141,0.121222,0.448703
TEMPO_RADT_L1_V04_20250904T102639Z_S001G02,6.297664,33.590748,-99.627052,120,1,VNP46A3_A2025244,152,4.139322e-02,-0.011364,0.036186,0.074077,42.091698,111.323669,0.000000,0,2,1.060768e-03,-0.016329,0.010051,-0.000339,0.000493,0.002580,1.035553,1.213563,1.778687,1.519915,0.108882,0.427514
TEMPO_RADT_L1_V04_20250904T103928Z_S001G03,6.297664,33.719921,-106.051109,120,1,VNP46A3_A2025244,152,4.139322e-02,-0.011364,0.036186,0.074077,42.091698,108.704437,0.000000,0,2,1.083540e-02,0.020327,0.012253,0.034491,0.000528,0.003538,1.003982,1.173817,1.728212,1.474647,0.108627,0.429458
TEMPO_RADT_L1_V04_20250904T105218Z_S001G04,6.297664,33.945023,-112.830406,120,1,VNP46A3_A2025244,152,4.139322e-02,-0.011364,0.036186,0.074077,42.091698,105.864990,0.000000,0,9,1.010032e-02,0.024098,0.008163,0.040296,0.000671,0.003947,0.991000,1.178733,1.713129,1.497252,0.110073,0.427045
TEMPO_RADT_L1_V04_20250904T110508Z_S001G05,6.297664,34.274872,-120.209801,120,1,VNP46A3_A2025244,152,4.139322e-02,-0.011364,0.036186,0.074077,42.091698,102.638657,0.000000,0,0,1.048945e-02,0.013833,0.009105,0.036147,0.000683,0.005978,0.991480,1.200802,1.717237,1.541230,0.110629,0.432673
TEMPO_RADT_L1_V04_20250905T004941Z_S016G01,6.297664,34.182392,-63.397335,121,1,VNP46A3_A2025244,136,4.758573e-02,0.008758,0.024697,0.034877,34.665863,58.686699,0.000000,0,2,1.746675e-02,0.029446,0.007953,0.054743,0.000734,0.004386,1.069074,1.196315,1.896449,1.510544,0.109009,0.435793
TEMPO_RADT_L1_V04_20250905T010237Z_S016G02,6.297664,33.890732,-70.653091,120,1,VNP46A3_A2025244,136,4.758573e-02,0.008758,0.024697,0.034877,34.665863,59.556690,0.000000,0,123,2.583029e-02,0.021746,0.024942,0.033668,0.000348,0.001172,1.160019,1.213764,2.087139,1.530321,0.109084,0.429164
TEMPO_RADT_L1_V04_20250905T011526Z_S016G03,6.297664,33.699116,-77.322990,120,1,VNP46A3_A2025244,136,4.758573e-02,0.008758,0.024697,0.034877,34.665863,60.564198,0.000000,0,51,5.909027e-03,0.009857,0.018022,0.027138,0.000248,0.001564,1.231504,1.231446,2.214349,1.545898,0.108930,0.427847
TEMPO_RADT_L1_V04_20250905T012816Z_S016G04,6.297664,33.585789,-83.691971,120,1,VNP46A3_A2025244,136,4.758573e-02,0.008758,0.024697,0.034877,34.665863,61.695442,0.000000,0,19,-3.591272e-03,-0.014046,0.027482,0.010681,0.000512,0.001889,1.163148,1.258358,2.028627,1.565023,0.107977,0.427840
TEMPO_RADT_L1_V04_20250905T014106Z_S016G05,6.297664,33.546822,-89.911674,120,1,VNP46A3_A2025244,136,4.758573e-02,0.008758,0.024697,0.034877,34.665863,62.963871,1311.000000,0,2,4.193025e-02,-0.006636,0.074170,-0.078930,-0.000758,0.008050,1.132722,1.267460,1.977902,1.736137,0.120028,0.442608
TEMPO_RADT_L1_V04_20250905T101319Z_S001G01,6.297664,33.526276,-93.333694,121,1,VNP46A3_A2025244,124,4.294153e-02,0.014109,0.039854,0.097755,29.810015,101.636292,33.000000,125,7,1.400025e-02,-0.008160,0.029302,-0.058844,-0.002694,0.000891,1.085894,1.242425,1.875104,1.740122,0.122465,0.442524
TEMPO_RADT_L1_V04_20250905T102615Z_S001G02,6.297664,33.584591,-99.626968,120,1,VNP46A3_A2025244,124,4.294153e-02,0.014109,0.039854,0.097755,29.810015,99.118507,0.000000,0,9,1.381723e-03,-0.014161,0.009003,0.003252,0.000469,0.001922,1.030358,1.211155,1.769267,1.516627,0.111666,0.424765
TEMPO_RADT_L1_V04_20250905T103904Z_S001G03,6.297664,33.711147,-106.043625,120,1,VNP46A3_A2025244,124,4.294153e-02,0.014109,0.039854,0.097755,29.810015,96.532951,0.000000,0,0,1.007892e-02,0.018987,0.010039,0.031235,0.000206,0.002931,1.003390,1.172457,1.718508,1.467669,0.109528,0.425018
