Granule,exposure,lat0,lon0,steps,reg_status,VIIRS_Ref,verf_pnts,mu_dx,mu_dy,sig_dx,sig_dy,LPA,LZA0,solar_contam,aurora_pix,lightning_pix,mu_city_vis,mu_city_uv,mu_full_vis,mu_full_uv,mu_aurora,mu_lightning,sig_city_vis,sig_city_uv,sig_full_vis,sig_full_uv,sig_aurora,sig_lightning
-,s,deg,deg,-,-,-,-,pixels,pixels,pixels,pixels,deg,deg,-,-,-,nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr),nW/(cm2 sr)
TEMPO_RADT_L1_V04_20230925T100442Z_S001G01,9.999933,33.744690,-106.372147,101,1,VNP46A3_A2023244,58,3.442876e-02,0.026144,0.029886,0.046696,55.479061,112.221878,0.000000,0,277,3.147216e-02,2.156159,0.014776,3.243053,0.002661,0.375560,1.030156,1.939418,1.834547,2.719072,0.097943,0.581593
TEMPO_RADT_L1_V04_20230925T102144Z_S001G02,9.999933,33.917820,-111.848038,100,1,VNP46A3_A2023244,58,3.442876e-02,0.026144,0.029886,0.046696,55.479061,111.139397,0.000000,2,833,-3.555752e-03,-0.013193,-0.050239,-0.119619,0.000192,-0.018073,1.002565,1.518889,1.778964,2.187306,0.090456,0.444491
TEMPO_RADT_L1_V04_20230925T103837Z_S001G03,9.999933,34.152470,-117.625710,100,1,VNP46A3_A2023244,58,3.442876e-02,0.026144,0.029886,0.046696,55.479061,109.812981,0.000000,0,3965,-7.259945e-02,-2.178572,-0.134515,-3.246813,-0.002661,-0.349181,1.018570,1.942025,1.806434,2.601119,0.098497,0.536817
TEMPO_RADT_L1_V04_20230925T105550Z_S002G01,9.999933,33.735088,-106.411369,101,1,VNP46A3_A2023244,59,-1.549160e-02,-0.000223,0.036364,0.057513,54.997776,122.028282,0.000000,0,1704,3.029762e-02,1.221600,0.014087,0.234223,-0.002566,-0.208841,1.060034,1.544091,1.890159,1.706856,0.093769,0.421007
TEMPO_RADT_L1_V04_20230925T111252Z_S002G02,9.999933,33.910160,-111.868713,100,1,VNP46A3_A2023244,59,-1.549160e-02,-0.000223,0.036364,0.057513,54.997776,120.923264,0.000000,0,18,3.939898e-04,-0.019914,-0.029473,-0.004621,-0.000018,-0.002369,1.039186,1.208956,1.861428,1.349846,0.088960,0.376320
TEMPO_RADT_L1_V04_20230925T112945Z_S002G03,9.999933,34.148376,-117.622940,100,1,VNP46A3_A2023244,59,-1.549160e-02,-0.000223,0.036364,0.057513,54.997776,119.565010,0.000000,0,16,-7.200028e-02,-1.208237,-0.142567,-0.195331,0.002946,0.222404,1.067117,1.591350,1.913700,1.688460,0.092892,0.421806
TEMPO_RADT_L1_V04_20230926T005510Z_S016G01,9.999933,33.903622,-71.811119,101,1,VNP46A3_A2023244,52,3.291517e-02,0.055479,0.022001,0.095764,47.045097,56.562187,0.000000,32,4794,1.742766e-01,-2.641758,0.274303,-4.019787,-0.005656,-0.801995,1.066970,2.633830,1.998193,2.828577,0.100601,0.737709
TEMPO_RADT_L1_V04_20230926T011212Z_S016G02,9.999933,33.746925,-77.196976,100,1,VNP46A3_A2023244,52,3.291517e-02,0.055479,0.022001,0.095764,47.045097,56.595516,0.000000,0,1453,1.121712e-01,0.007991,0.205333,-0.240078,0.000474,-0.009494,1.367671,1.644843,2.489328,2.425235,0.090696,0.499913
TEMPO_RADT_L1_V04_20230926T012905Z_S016G03,9.999933,33.643818,-82.336441,100,1,VNP46A3_A2023244,52,3.291517e-02,0.055479,0.022001,0.095764,47.045097,56.663857,0.000000,0,194,-2.261342e-01,2.729860,-0.306898,4.027904,0.004816,0.835856,1.446940,2.796152,2.594687,2.980180,0.101351,0.775190
TEMPO_RADT_L1_V04_20230926T100411Z_S001G01,9.999933,33.746922,-106.380394,101,1,VNP46A3_A2023244,60,8.495946e-03,0.017074,0.038763,0.067764,41.794716,98.605942,0.000000,0,71,1.103064e-02,2.344170,0.011808,3.467429,0.025392,0.422860,0.998564,2.104973,1.763883,2.821441,0.104750,0.598794
